,season,name,games_played,corsi_percentage,fenwick_percentage,games_missed,points_per_game,next_season
3,2012,Nicklas Grossmann,30,0.41,0.42,18,0.13,2013
4,2012,Vladimir Tarasenko,38,0.63,0.63,10,0.5,2013
9,2012,Eric Selleck,2,0.44,0.48,16,0.5,2013
20,2012,Chad LaRose,35,0.54,0.54,10,0.11,2013
31,2012,Rene Bourque,27,0.55,0.55,21,0.48,2013
56,2012,Raphael Diaz,23,0.51,0.54,25,0.61,2013
60,2012,Daniel Briere,34,0.54,0.52,10,0.47,2013
65,2013,Roman Josi,72,0.49,0.51,10,0.56,2014
68,2013,Jonathan Huberdeau,69,0.56,0.54,11,0.41,2014
76,2013,Tomas Kopecky,49,0.49,0.49,24,0.24,2014
79,2013,Alexander Semin,65,0.6,0.59,12,0.65,2014
82,2013,Michael Bournival,60,0.43,0.45,14,0.23,2014
85,2013,Loui Eriksson,61,0.59,0.58,15,0.61,2014
86,2013,Saku Koivu,65,0.43,0.43,15,0.45,2014
87,2013,Travis Hamonic,69,0.47,0.47,12,0.26,2014
91,2013,Marc Staal,72,0.51,0.5,10,0.19,2014
102,2013,Daniel Briere,69,0.52,0.52,10,0.36,2014
103,2013,George Parros,22,0.28,0.27,10,0.05,2014
104,2013,George Parros,22,0.28,0.27,12,0.05,2014
115,2013,Tim Gleason,56,0.39,0.38,10,0.11,2014
119,2013,Andrew Alberts,10,0.47,0.42,41,0.0,2014
121,2013,Lubomir Visnovsky,24,0.61,0.59,12,0.46,2014
122,2013,Lubomir Visnovsky,24,0.61,0.59,46,0.46,2014
123,2014,Jack Hillen,38,0.48,0.47,19,0.13,2015
129,2014,Alec Martinez,56,0.53,0.53,18,0.39,2015
135,2014,Leo Komarov,62,0.41,0.41,14,0.42,2015
144,2014,Mikhail Grabovski,51,0.58,0.59,23,0.37,2015
148,2014,Matt Calvert,56,0.46,0.45,15,0.41,2015
153,2014,Carl Gunnarsson,61,0.48,0.5,10,0.2,2015
157,2014,Keith Ballard,14,0.43,0.43,56,0.07,2015
158,2014,Keith Ballard,14,0.43,0.43,10,0.07,2015
164,2014,Clarke MacArthur,62,0.57,0.54,18,0.58,2015
168,2014,Brandon Pirri,49,0.56,0.56,10,0.49,2015
175,2014,Johan Franzen,33,0.61,0.59,42,0.67,2015
180,2014,Korbinian Holzer,34,0.38,0.4,18,0.18,2015
181,2014,Korbinian Holzer,34,0.38,0.4,16,0.18,2015
182,2014,Ryane Clowe,13,0.53,0.5,69,0.31,2015
191,2015,Sam Gagner,53,0.55,0.54,11,0.3,2016
193,2015,Johan Franzen,2,0.47,0.46,80,0.5,2016
199,2015,Mathieu Perreault,71,0.64,0.63,10,0.58,2016
200,2015,Peter Holland,65,0.59,0.59,12,0.42,2016
206,2015,Mark Barberio,30,0.54,0.54,11,0.33,2016
