season,name,team,position,games_played,corsi_percentage,fenwick_percentage,goals,points,penalty_minutes,hits,takeaways,giveaways,games_missed,points_per_game,PPGP,PPGN
2013,Roman Josi,NSH,D,72,0.49,0.51,13,40,18,32,22,34,10,0.56,0.38,0.68
2013,Jonathan Huberdeau,FLA,L,69,0.56,0.54,9,28,37,73,32,21,11,0.41,0.65,0.68
2013,Tomas Kopecky,FLA,R,49,0.49,0.49,4,12,18,31,17,10,24,0.24,0.57,0.12
2013,Alexander Semin,CAR,R,65,0.6,0.59,22,42,42,22,49,56,12,0.65,1.0,0.33
2013,Loui Eriksson,BOS,L,61,0.59,0.58,10,37,6,12,31,17,15,0.61,0.6,0.58
2013,Travis Hamonic,NYI,D,69,0.47,0.47,3,18,48,93,40,51,12,0.26,0.21,0.46
2013,Marc Staal,NYR,D,72,0.51,0.5,3,14,24,83,41,48,10,0.19,0.52,0.25
2013,Daniel Briere,MTL,C,69,0.52,0.52,13,25,30,23,22,17,10,0.36,0.47,0.21
2013,Tim Gleason,TOR,D,56,0.39,0.38,1,6,55,156,9,26,10,0.11,0.21,0.12
2013,Lubomir Visnovsky,NYI,D,24,0.61,0.59,3,11,10,14,15,18,12,0.46,0.4,0.38
2013,Lubomir Visnovsky,NYI,D,24,0.61,0.59,3,11,10,14,15,18,46,0.46,0.4,0.38
2014,Alec Martinez,L.A,D,56,0.53,0.53,6,22,10,95,11,38,18,0.39,0.36,0.4
2014,Mikhail Grabovski,NYI,C,51,0.58,0.59,9,19,8,11,26,31,23,0.37,0.6,0.43
2014,Matt Calvert,CBJ,L,56,0.46,0.45,13,23,28,92,26,19,15,0.41,0.41,0.33
2014,Carl Gunnarsson,STL,D,61,0.48,0.5,2,12,2,42,11,13,10,0.2,0.21,0.12
2014,Clarke MacArthur,OTT,L,62,0.57,0.54,16,36,36,70,31,36,18,0.58,0.7,0.0
2014,Brandon Pirri,FLA,R,49,0.56,0.56,22,24,14,39,18,12,10,0.49,0.51,0.48
2014,Johan Franzen,DET,R,33,0.61,0.59,7,22,30,45,4,17,42,0.67,0.76,0.5
2015,Sam Gagner,PHI,C,53,0.55,0.54,8,16,15,17,20,13,11,0.3,0.51,0.62
2015,Mathieu Perreault,WPG,C,71,0.64,0.63,9,41,36,83,31,26,10,0.58,0.66,0.69
2015,Peter Holland,TOR,C,65,0.59,0.59,9,27,28,78,34,21,12,0.42,0.4,0.23
2015,Mark Barberio,MTL,D,30,0.54,0.54,2,10,6,12,11,19,11,0.33,0.13,0.22
2015,Ben Smith,TOR,R,22,0.42,0.42,2,6,0,18,8,3,21,0.27,0.18,0.1
2015,Clarke MacArthur,OTT,L,4,0.58,0.57,0,0,0,3,0,0,78,0.0,0.58,0.0
2015,David Warsofsky,N.J,D,22,0.58,0.58,1,2,2,5,4,17,16,0.09,0.25,0.14
2016,John Moore,N.J,D,63,0.45,0.43,12,22,29,68,7,41,17,0.35,0.26,0.22
2016,Patrick Sharp,DAL,L,48,0.56,0.57,8,18,31,24,16,21,12,0.38,0.72,0.3
2016,Patrick Sharp,DAL,L,48,0.56,0.57,8,18,31,24,16,21,14,0.38,0.72,0.3
2016,Andrew Shaw,MTL,R,68,0.58,0.57,12,29,80,147,28,29,14,0.43,0.44,0.38
2017,Phillip Danault,MTL,C,52,0.5,0.5,8,25,34,59,38,20,15,0.48,0.49,0.64
2017,Trevor Lewis,L.A,C,68,0.46,0.47,14,26,25,125,19,14,12,0.38,0.29,0.27
2017,Ondrej Kase,ANA,R,66,0.56,0.55,20,38,14,28,29,31,10,0.58,0.28,0.67
2017,Matt Hunwick,PIT,D,42,0.45,0.44,4,10,21,51,14,20,15,0.24,0.26,0.14
2017,Mark Borowiecki,OTT,D,52,0.44,0.47,3,11,64,226,11,17,21,0.21,0.04,0.09
2017,Marcus Johansson,N.J,L,29,0.54,0.54,5,14,14,8,15,21,13,0.48,0.7,0.52
2017,Marcus Johansson,N.J,L,29,0.54,0.54,5,14,14,8,15,21,35,0.48,0.7,0.52
2018,T.J. Oshie,WSH,R,69,0.57,0.57,25,54,36,133,46,38,11,0.78,0.64,0.71
2018,J.T. Compher,COL,L,66,0.5,0.5,16,33,31,33,23,23,16,0.5,0.33,0.46
2018,Sami Vatanen,N.J,D,50,0.49,0.49,4,17,22,68,16,36,14,0.34,0.44,0.49
2018,David Perron,STL,L,57,0.56,0.56,23,46,46,52,41,17,24,0.81,0.94,0.83
2018,Alexander Edler,VAN,D,56,0.49,0.51,10,31,54,127,13,38,11,0.55,0.49,0.56
2018,Charlie McAvoy,BOS,D,54,0.54,0.55,7,28,45,90,30,54,20,0.52,0.51,0.48
2018,Jordan Staal,CAR,C,50,0.59,0.58,11,29,24,121,39,24,27,0.58,0.58,0.4
2018,Ondrej Kase,ANA,R,30,0.6,0.59,11,20,2,17,15,18,18,0.67,0.58,0.44
2018,Drake Caggiula,CHI,C,55,0.49,0.48,12,23,28,135,18,22,13,0.42,0.3,0.38
2019,Drake Caggiula,CHI,C,40,0.48,0.47,9,15,32,81,19,5,27,0.38,0.42,0.26
2019,Kyle Okposo,BUF,R,52,0.52,0.52,9,19,18,55,15,13,10,0.37,0.37,0.37
2019,Trevor Moore,L.A,C,42,0.46,0.45,6,10,6,60,21,19,15,0.24,0.32,0.41
2019,Kris Russell,EDM,D,55,0.38,0.4,0,9,14,71,31,37,14,0.16,0.22,0.26
2019,Andrew Shaw,CHI,C,26,0.56,0.54,3,10,33,74,12,15,44,0.38,0.75,0.29
2020,Tyler Bozak,STL,C,31,0.4,0.4,5,17,10,17,12,10,21,0.55,0.43,0.24
2020,Sonny Milano,ANA,L,6,0.63,0.66,0,0,0,4,0,3,34,0.0,0.43,0.52
2020,Teuvo Teravainen,CAR,L,21,0.58,0.57,5,14,4,8,10,12,25,0.67,0.9,0.84
2020,Dylan Strome,CHI,C,40,0.53,0.53,9,17,14,8,17,16,11,0.42,0.66,0.7
2021,Connor Murphy,CHI,D,57,0.39,0.39,4,10,47,130,19,47,22,0.18,0.3,0.16
2021,Ondrej Kase,TOR,R,50,0.51,0.5,14,27,14,29,28,16,20,0.54,0.0,0.0
2021,Christian Dvorak,MTL,L,56,0.46,0.45,11,33,14,32,16,32,19,0.59,0.55,0.44
2021,Jake Muzzin,TOR,D,47,0.48,0.48,3,14,16,105,12,44,20,0.3,0.51,0.25
2021,Scott Laughton,PHI,C,67,0.45,0.45,11,30,35,151,31,40,12,0.45,0.38,0.55
