Season,Team,Position,Player,Injury Type,Cap Hit,Chip,Games Missed,Games Missed
2012/13,Boston,F,"Bergeron, patrice",Concussion,5,365.8536585,6,6
2012/13,Boston,F,"Marchand, Brad",Concussion,2.5,60.97560976,2,2
2012/13,Boston,F,"Thornton, Shawn",Concussion,1.1,26.82926829,2,2
2012/13,Carolina,F,"LaRose, Chad",Concussion,1.7,207.3170732,10,10
2012/13,Carolina,F,"Semin, Alexander",Concussion,7,170.7317073,2,2
2012/13,Carolina,F,"Skinner, Jeff",Concussion,1.4,85.36585366,5,5
2012/13,Chicago,D,"Montador, Steve",Concussion,2.75,871.9512195,26,26
2012/13,Columbus,D,"Wisniewski, James",Concussion,5.5,134.1463415,2,2
2012/13,Detroit,F,"Eaves, Patrick",Concussion,1.2,14.63414634,1,1
2012/13,Edmonton,F,"Eager, Ben",Concussion,1.1,120.7317073,9,9
2012/13,Florida,F,"Selleck, Eric",Concussion,0.55,107.3170732,16,16
2012/13,Florida,D,"Weaver, Mike",Concussion,1.1,13.41463415,1,1
2012/13,Montreal,F,"Bourque, Rene",Concussion,3.333,853.5731707,21,21
2012/13,Montreal,F,"Gallagher, Brendan",Concussion,0.87,31.82926829,3,3
2012/13,Montreal,D,"Diaz, Raphael",Concussion,1.225,373.4756098,25,25
2012/13,NY Rangers,F,"Powe, Darroll",Concussion,1.067,39.03658537,3,3
2012/13,Ottawa,F,"Dziurzynski, David",Concussion,0.6,51.2195122,7,7
2012/13,Ottawa,D,"Lundin, Mike",Concussion,1.15,112.195122,8,8
2012/13,Philadelphia,F,"Briere, Daniel",Concussion,6.5,792.6829268,10,10
2012/13,Philadelphia,F,"Simmonds, Wayne",Concussion,1.75,64.02439024,3,3
2012/13,Philadelphia,D,"Bourdon, Marc-Andre",Concussion,0.613,358.8292683,48,48
2012/13,Philadelphia,D,"Grossmann, Nicklas",Concussion,3.5,768.2926829,18,18
2012/13,Philadelphia,D,"Huskins, Kent",Concussion,0.75,54.87804878,6,6
2012/13,Phoenix,F,"Klinkhammer, Rob",Concussion,0.65,7.926829268,1,1
2012/13,Pittsburgh,F,"Malkin, Evgeni",Concussion,8.7,424.3902439,4,4
2012/13,Pittsburgh,F,"Neal, James",Concussion,5,487.804878,8,8
2012/13,St. Louis,F,"Tarasenko, Vladimir",Concussion,1.75,213.4146341,10,10
2012/13,Toronto,F,"Lupul, Joffrey",Concussion,4.25,259.1463415,5,5
2012/13,Toronto,D,"Gardiner, Jake",Concussion,1.117,27.24390244,2,2
2012/13 (playoffs),Minnesota,F,"Pominville, Jason",Concussion,4.505,164.8170732,3,3
2012/13 (playoffs),Montreal,F,"Eller, Lars",Concussion,1.15,56.09756098,4,4
2013/14,Anaheim,F,"Koivu, Saku",Concussion,3.5,640.2439024,15,15
2013/14,Anaheim,F,"Penner, Dustin",Concussion,2,121.9512195,5,5
2013/14,Boston,F,"Eriksson, Loui",Concussion,4.25,259.1463415,5,5
