season,name,team,position,games_played,corsi_percentage,fenwick_percentage,goals,points,penalty_minutes,hits,takeaways,giveaways,games_missed,points_per_game
2012,Jack Hillen,WSH,D,23,0.49,0.5,3,9,14,10,2,13,0,0.39
2012,David Perron,STL,L,48,0.58,0.58,10,25,44,48,26,14,0,0.52
2012,Ryane Clowe,NYR,L,40,0.58,0.58,3,19,53,99,13,26,0,0.48
2012,Nicklas Grossmann,PHI,D,30,0.41,0.42,1,4,21,81,6,17,18,0.13
2012,Vladimir Tarasenko,STL,R,38,0.63,0.63,8,19,10,28,14,6,10,0.5
2012,Trevor Lewis,L.A,C,48,0.5,0.51,5,14,19,83,11,9,0,0.29
2012,John-Michael Liles,TOR,D,32,0.49,0.48,2,11,4,45,8,22,0,0.34
2012,Saku Koivu,ANA,C,47,0.5,0.5,8,27,18,31,14,21,0,0.57
2012,Matt Hunwick,COL,D,43,0.46,0.46,0,6,16,40,30,22,0,0.14
2012,Eric Selleck,FLA,L,2,0.44,0.48,0,1,7,5,2,0,16,0.5
2012,Jordan Staal,CAR,C,48,0.52,0.51,10,31,32,105,31,20,0,0.65
2012,Mathieu Perreault,WSH,C,39,0.57,0.56,6,17,20,28,9,7,0,0.44
2012,Kris Russell,STL,D,33,0.5,0.53,1,7,9,26,10,8,0,0.21
2012,Scott Laughton,PHI,C,5,0.42,0.38,0,0,0,10,0,0,0,0.0
2012,T.J. Oshie,STL,R,30,0.54,0.57,7,20,15,33,18,12,0,0.67
2012,Andrew Shaw,CHI,C,48,0.58,0.58,9,15,38,70,12,10,0,0.31
2012,Justin Falk,MIN,D,36,0.47,0.48,0,3,40,53,7,6,0,0.08
2012,Alec Martinez,L.A,D,27,0.6,0.59,1,5,10,31,2,13,0,0.19
2012,Brandon Pirri,CHI,R,1,0.57,0.54,0,0,0,1,0,0,0,0.0
2012,Korbinian Holzer,TOR,D,22,0.36,0.36,2,3,18,61,3,15,0,0.14
2012,Chad LaRose,CAR,R,35,0.54,0.54,2,4,19,59,8,6,10,0.11
2012,John Moore,NYR,D,30,0.5,0.48,1,7,7,38,3,4,0,0.23
2012,Mark Borowiecki,OTT,D,6,0.49,0.49,0,0,8,26,0,4,0,0.0
2012,Mark Barberio,T.B,D,2,0.52,0.48,0,0,0,0,0,5,0,0.0
2012,Marc Staal,NYR,D,21,0.48,0.48,2,11,14,47,4,12,0,0.52
2012,Ben Smith,CHI,R,1,0.46,0.42,1,1,0,1,0,0,0,1.0
2012,Johan Franzen,DET,R,41,0.61,0.6,14,31,21,43,16,21,0,0.76
2012,Roman Josi,NSH,D,48,0.52,0.53,5,18,8,31,16,20,0,0.38
2012,Alexander Semin,CAR,R,44,0.56,0.55,13,44,36,14,46,35,0,1.0
2012,Patrick Sharp,CHI,L,28,0.55,0.54,6,20,14,26,14,14,0,0.71
2012,Leo Komarov,TOR,C,42,0.42,0.43,4,9,18,176,16,15,0,0.21
2012,Rene Bourque,MTL,R,27,0.55,0.55,7,13,22,37,8,6,21,0.48
2012,Peter Holland,ANA,C,21,0.53,0.52,3,5,4,17,7,8,0,0.24
2012,Jonathan Toews,CHI,C,47,0.6,0.61,23,48,27,24,56,16,0,1.02
2012,Andrew Alberts,VAN,D,24,0.44,0.43,0,1,12,39,5,7,0,0.04
2012,Kyle Okposo,NYI,R,48,0.53,0.54,4,24,28,48,35,35,0,0.5
2012,Sami Vatanen,ANA,D,8,0.54,0.56,2,2,0,2,2,1,0,0.25
2012,Keith Ballard,VAN,D,36,0.49,0.49,0,2,29,45,16,13,0,0.06
2012,Jakub Voracek,PHI,R,48,0.61,0.62,22,46,25,20,21,25,0,0.96
2012,George Parros,FLA,R,39,0.45,0.43,1,2,57,53,5,3,0,0.05
2012,Matt Calvert,CBJ,L,42,0.49,0.49,9,16,22,57,17,6,0,0.38
2012,Tyler Bozak,TOR,C,46,0.5,0.49,12,28,6,65,37,37,0,0.61
2012,Radko Gudas,T.B,D,22,0.53,0.53,2,5,28,87,5,17,0,0.23
2012,Clarke MacArthur,TOR,L,40,0.52,0.52,8,20,16,44,15,29,0,0.5
2012,Tim Gleason,CAR,D,42,0.43,0.41,0,9,30,90,10,11,0,0.21
2012,Loui Eriksson,DAL,L,48,0.54,0.52,12,29,8,6,29,21,0,0.6
2012,Carl Gunnarsson,TOR,D,37,0.41,0.42,1,15,14,78,11,32,0,0.41
2012,Alexander Edler,VAN,D,45,0.55,0.54,8,22,37,77,19,26,0,0.49
2012,Lubomir Visnovsky,NYI,D,35,0.6,0.61,3,14,20,20,13,30,0,0.4
2012,Jonathan Huberdeau,FLA,L,48,0.56,0.56,14,31,18,33,17,28,0,0.65
2012,Tomas Kopecky,FLA,R,47,0.48,0.47,15,27,18,23,24,11,0,0.57
2012,Sam Gagner,EDM,C,48,0.46,0.46,14,38,23,35,23,26,0,0.79
2012,Patric Hornqvist,NSH,R,24,0.61,0.6,4,14,14,29,7,6,0,0.58
2012,Ales Hemsky,EDM,R,38,0.5,0.49,9,20,16,11,16,17,0,0.53
2012,Mikhail Grabovski,TOR,C,48,0.48,0.48,9,16,14,34,19,32,0,0.33
2012,Marcus Johansson,WSH,L,34,0.5,0.49,6,22,4,14,15,19,0,0.65
