,pkey,Season,Player,Team,Position,Games_Missed
0,2012Patrice Bergeron,2012,Patrice Bergeron,BOS,F,6
1,2012Brad Marchand,2012,Brad Marchand,BOS,F,2
2,2012Shawn Thornton,2012,Shawn Thornton,BOS,F,2
3,2012Chad LaRose,2012,Chad LaRose,CAR,F,10
4,2012Alexander Semin,2012,Alexander Semin,CAR,F,2
5,2012Jeff Skinner,2012,Jeff Skinner,CAR,F,5
6,2012Steve Montador,2012,Steve Montador,CHI,D,26
7,2012James Wisniewski,2012,James Wisniewski,CBJ,D,2
8,2012Patrick Eaves,2012,Patrick Eaves,DET,F,1
9,2012Ben Eager,2012,Ben Eager,EDM,F,9
10,2012Eric Selleck,2012,Eric Selleck,FLA,F,16
11,2012Mike Weaver,2012,Mike Weaver,FLA,D,1
12,2012Rene Bourque,2012,Rene Bourque,MTL,F,21
13,2012Brendan Gallagher,2012,Brendan Gallagher,MTL,F,3
14,2012Raphael Diaz,2012,Raphael Diaz,MTL,D,25
15,2012Darroll Powe,2012,Darroll Powe,NYR,F,3
16,2012David Dziurzynski,2012,David Dziurzynski,OTT,F,7
17,2012Mike Lundin,2012,Mike Lundin,OTT,D,8
18,2012Daniel Briere,2012,Daniel Briere,PHI,F,10
19,2012Wayne Simmonds,2012,Wayne Simmonds,PHI,F,3
20,2012Marc-Andre Bourdon,2012,Marc-Andre Bourdon,PHI,D,48
21,2012Nicklas Grossmann,2012,Nicklas Grossmann,PHI,D,18
22,2012Kent Huskins,2012,Kent Huskins,PHI,D,6
23,2012Rob Klinkhammer,2012,Rob Klinkhammer,ARI,F,1
24,2012Evgeni Malkin,2012,Evgeni Malkin,PIT,F,4
25,2012James Neal,2012,James Neal,PIT,F,8
26,2012Vladimir Tarasenko,2012,Vladimir Tarasenko,STL,F,10
27,2012Joffrey Lupul,2012,Joffrey Lupul,TOR,F,5
28,2012Jake Gardiner,2012,Jake Gardiner,TOR,D,2
29,2012Jason Pominville,2012,Jason Pominville,MIN,F,3
30,2012Lars Eller,2012,Lars Eller,MTL,F,4
31,2013Saku Koivu,2013,Saku Koivu,ANA,F,15
32,2013Dustin Penner,2013,Dustin Penner,ANA,F,5
33,2013Loui Eriksson,2013,Loui Eriksson,BOS,F,5
34,2013Loui Eriksson,2013,Loui Eriksson,BOS,F,15
