,Season,Team,Position,Player,Games_Missed
0,2012,BOS,F,Patrice Bergeron,6
1,2012,BOS,F,Brad Marchand,2
2,2012,BOS,F,Shawn Thornton,2
3,2012,CAR,F,Chad LaRose,10
4,2012,CAR,F,Alexander Semin,2
5,2012,CAR,F,Jeff Skinner,5
6,2012,CHI,D,Steve Montador,26
7,2012,CBJ,D,James Wisniewski,2
8,2012,DET,F,Patrick Eaves,1
9,2012,EDM,F,Ben Eager,9
10,2012,FLA,F,Eric Selleck,16
11,2012,FLA,D,Mike Weaver,1
12,2012,MTL,F,René Bourque,21
13,2012,MTL,F,Brendan Gallagher,3
14,2012,MTL,D,Raphael Díaz,25
15,2012,NYR,F,Darroll Powe,3
16,2012,OTT,F,David Dziurzynski,7
17,2012,OTT,D,Mike Lundin,8
18,2012,PHI,F,Daniel Brière,10
19,2012,PHI,F,Wayne Simmonds,3
20,2012,PHI,D,Marc-André Bourdon,48
21,2012,PHI,D,Nicklas Grossmann,18
22,2012,PHI,D,Kent Huskins,6
23,2012,ARI,F,Rob Klinkhammer,1
24,2012,PIT,F,Evgeni Malkin,4
25,2012,PIT,F,James Neal,8
26,2012,STL,F,Vladimir Tarasenko,10
27,2012,TOR,F,Joffrey Lupul,5
28,2012,TOR,D,Jake Gardiner,2
29,2012,MIN,F,Jason Pominville,3
30,2012,MTL,F,Lars Eller,4
31,2013,ANA,F,Saku Koivu,15
32,2013,ANA,F,Dustin Penner,5
33,2013,BOS,F,Loui Eriksson,5
34,2013,BOS,F,Loui Eriksson,15
35,2013,BOS,F,Daniel Paille,2
36,2013,BOS,F,Daniel Paille,7
37,2013,BOS,D,Dougie Hamilton,4
39,2013,CGY,F,Mike Cammalleri,9
40,2013,CAR,F,Alexander Semin,12
41,2013,CAR,D,Brett Bellemore,6
42,2013,CAR,D,Tim Gleason,10
43,2013,CAR,D,Jay Harrison,6
44,2013,COL,F,John Mitchell,2
45,2013,DAL,F,Tyler Seguin,2
46,2013,DAL,D,Sergei Gonchar,6
48,2013,DET,F,Johan Franzén,6
49,2013,DET,D,Niklas Kronwall,2
51,2013,FLA,F,Nick Bjugstad,5
52,2013,FLA,F,Jonathan Huberdeau,11
53,2013,FLA,F,Tomáš Kopecký,24
54,2013,L.A,F,Colin Fraser,3
55,2013,L.A,D,Matt Greene,6
56,2013,MIN,D,Keith Ballard,7
58,2013,MTL,F,Michaël Bournival,14
59,2013,MTL,F,Daniel Brière,10
60,2013,MTL,F,Travis Moen,9
61,2013,MTL,F,George Parros,10
62,2013,MTL,F,George Parros,12
63,2013,NSH,D,Seth Jones,5
64,2013,NSH,D,Roman Josi,10
65,2013,NYI,F,Michael Grabner,9
66,2013,NYI,D,Travis Hamonic,12
67,2013,NYI,D,Ľubomír Višňovský,12
68,2013,NYI,D,Ľubomír Višňovský,46
69,2013,NYR,F,Taylor Pyatt,8
70,2013,NYR,D,John Moore,6
71,2013,NYR,D,Marc Staal,10
72,2013,PHI,F,Steve Downie,4
73,2013,PHI,F,Michael Raffl,1
74,2013,PHI,F,Matt Read,6
75,2013,PHI,D,Marc-André Bourdon,49
76,2013,ARI,D,Rostislav Klesla,3
77,2013,PIT,F,James Neal,2
78,2013,PIT,D,Brooks Orpik,8
79,2013,STL,F,Alex Steen,11
80,2013,T.B,D,Mike Kostka,3
81,2013,VAN,D,Andrew Alberts,41
82,2013,COL,F,John Mitchell,7
83,2013,MTL,F,Travis Moen,4
84,2014,ANA,D,Korbinian Holzer,18
85,2014,BUF,F,Cody McCormick,4
86,2014,CGY,F,Micheal Ferland,8
87,2014,CAR,F,Jeff Skinner,4
88,2014,CAR,D,Jack Hillen,19
89,2014,COL,F,Jesse Winchester,82
90,2014,CBJ,F,Artem Anisimov,7
91,2014,CBJ,F,Matt Calvert,15
92,2014,CBJ,F,Brandon Dubinsky,3
93,2014,DAL,F,Patrick Eaves,7
94,2014,DET,F,Johan Franzén,42
96,2014,EDM,F,Matt Fraser,3
97,2014,EDM,D,Andrew Ference,9
98,2014,FLA,F,Brandon Pirri,10
99,2014,L.A,D,Alec Martinez,18
100,2014,MIN,F,Zach Parise,5
101,2014,MIN,D,Keith Ballard,56
102,2014,MTL,F,P.A. Parenteau,19
103,2014,MTL,D,Mike Weaver,2
104,2014,MTL,D,Mike Weaver,4
105,2014,N.J,F,Ryane Clowe,69
106,2014,NYI,F,Mikhail Grabovski,23
107,2014,OTT,F,Clarke MacArthur,18
109,2014,PIT,D,Christian Ehrhoff,6
110,2014,PIT,D,Kris Letang,7
111,2014,STL,F,David Backes,1
112,2014,STL,F,T.J. Oshie,7
113,2014,STL,D,Carl Gunnarsson,10
114,2014,TOR,F,Leo Komarov,14
115,2014,VAN,D,Chris Tanev,2
116,2014,ANA,D,Korbinian Holzer,16
118,2014,MIN,D,Keith Ballard,10
120,2014,PIT,D,Kris Letang,5
122,2015,ARI,F,Shane Doan,1
123,2015,BOS,F,Brad Marchand,2
124,2015,CAR,F,Phillip Di Giuseppe,6
125,2015,CAR,D,Ryan Murphy,5
127,2015,COL,F,Jack Skille,5
128,2015,COL,D,Chris Bigras,4
129,2015,COL,D,Nikita Zadorov,1
130,2015,CBJ,F,Alexander Wennberg,5
131,2015,DET,F,Johan Franzén,80
132,2015,DET,D,Kyle Quincey,4
133,2015,EDM,F,Ryan Nugent-Hopkins,3
134,2015,EDM,F,Iiro Pakarinen,3
135,2015,FLA,F,Quinton Howden,4
136,2015,MIN,F,Jason Zucker,6
138,2015,MTL,D,Mark Barberio,11
139,2015,NYR,D,Ryan McDonagh,4
140,2015,OTT,F,Curtis Lazar,3
141,2015,OTT,F,Clarke MacArthur,78
142,2015,OTT,D,Marc Methot,3
144,2015,PHI,F,Sam Gagner,11
145,2015,PIT,D,David Warsofsky,16
148,2015,S.J,F,Ben Smith,21
149,2015,STL,F,Robby Fabbri,6
150,2015,TOR,F,Peter Holland,12
151,2015,WPG,F,Mathieu Perreault,10
152,2015,WPG,F,Mark Scheifele,4
153,2015,DET,F,Johan Franzén,5
155,2016,ANA,D,Simon Després,81
156,2016,ARI,D,Jakob Chychrun,1
157,2016,BOS,F,David Backes,3
158,2016,BOS,F,Ryan Spooner,3
159,2016,BOS,D,John-Michael Liles,19
160,2016,BOS,D,Kevan Miller,4
161,2016,CAR,F,Jordan Staal,7
164,2016,DAL,F,Patrick Sharp,12
165,2016,DAL,F,Patrick Sharp,14
166,2016,FLA,F,Seth Griffith,4
167,2016,FLA,F,Denis Malgin,9
168,2016,FLA,F,Reilly Smith,2
169,2016,FLA,D,Aaron Ekblad,4
170,2016,MTL,F,Andrew Shaw,14
171,2016,N.J,F,Jacob Josefson,5
172,2016,N.J,F,Pavel Zacha,4
173,2016,N.J,D,John Moore,17
174,2016,NYR,F,Matt Puempel,5
175,2016,NYR,F,Matt Puempel,7
176,2016,NYR,D,Marc Staal,9
177,2016,OTT,F,Curtis Lazar,3
178,2016,OTT,F,Clarke MacArthur,78
179,2016,PHI,D,Brandon Manning,3
180,2016,PIT,F,Sidney Crosby,6
