"index","pkey","season","name","team","position","games_played","i_f_goals","i_f_points","i_f_penalityminutes","i_f_hits","i_f_takeaways","i_f_giveaways","onice_corsipercentage","onice_fenwickpercentage","games_missed"
23,"2012Brad Marchand",2012,"Brad Marchand","BOS","L",45,18,36,27,38,28,32,0.61,0.6,2
49,"2012Mike Weaver",2012,"Mike Weaver","FLA","D",27,1,9,8,49,4,10,0.41,0.4,1
103,"2012Nicklas Grossmann",2012,"Nicklas Grossmann","PHI","D",30,1,4,21,81,6,17,0.41,0.42,18
117,"2012Vladimir Tarasenko",2012,"Vladimir Tarasenko","STL","R",38,8,19,10,28,14,6,0.63,0.63,10
130,"2012Kent Huskins",2012,"Kent Huskins","PHI","D",19,0,1,4,18,0,5,0.39,0.41,6
201,"2012Eric Selleck",2012,"Eric Selleck","FLA","L",2,0,1,7,5,2,0,0.44,0.48,16
209,"2012James Wisniewski",2012,"James Wisniewski","CBJ","D",30,5,14,15,53,11,15,0.55,0.53,2
225,"2012Lars Eller",2012,"Lars Eller","MTL","C",46,8,30,35,86,23,19,0.48,0.5,4
311,"2012Jeff Skinner",2012,"Jeff Skinner","CAR","L",42,13,24,26,21,37,17,0.58,0.57,5
364,"2012Jason Pominville",2012,"Jason Pominville","MIN","R",47,14,34,8,21,38,13,0.51,0.5,3
379,"2012Chad LaRose",2012,"Chad LaRose","CAR","R",35,2,4,19,59,8,6,0.54,0.54,10
415,"2012Alexander Semin",2012,"Alexander Semin","CAR","R",44,13,44,36,14,46,35,0.56,0.55,2
439,"2012Rene Bourque",2012,"Rene Bourque","MTL","R",27,7,13,22,37,8,6,0.55,0.55,21
464,"2012Jake Gardiner",2012,"Jake Gardiner","TOR","D",12,0,4,0,13,6,12,0.52,0.51,2
487,"2012Rob Klinkhammer",2012,"Rob Klinkhammer","ARI","L",22,5,11,10,65,5,1,0.53,0.55,1
562,"2012Mike Lundin",2012,"Mike Lundin","OTT","D",11,0,1,0,2,2,5,0.49,0.45,8
578,"2012Ben Eager",2012,"Ben Eager","EDM","L",14,1,2,15,40,3,2,0.35,0.37,9
616,"2012Darroll Powe",2012,"Darroll Powe","NYR","C",42,0,0,27,82,5,3,0.36,0.36,3
619,"2012Joffrey Lupul",2012,"Joffrey Lupul","TOR","L",16,11,18,12,31,9,5,0.5,0.51,5
656,"2012James Neal",2012,"James Neal","PIT","L",40,21,36,26,56,11,7,0.64,0.63,8
674,"2012Shawn Thornton",2012,"Shawn Thornton","BOS","L",45,3,7,50,77,11,3,0.49,0.48,2
685,"2012Patrice Bergeron",2012,"Patrice Bergeron","BOS","C",42,10,32,18,28,23,28,0.6,0.61,6
713,"2012Wayne Simmonds",2012,"Wayne Simmonds","PHI","R",45,15,32,72,72,10,19,0.58,0.59,3
734,"2012Raphael Diaz",2012,"Raphael Diaz","MTL","D",23,1,14,6,11,6,17,0.51,0.54,25
785,"2012Patrick Eaves",2012,"Patrick Eaves","DET","R",34,2,8,4,40,7,4,0.51,0.51,1
810,"2012Brendan Gallagher",2012,"Brendan Gallagher","MTL","R",44,15,28,33,44,17,8,0.62,0.64,3
823,"2012Evgeni Malkin",2012,"Evgeni Malkin","PIT","C",31,9,33,26,12,23,21,0.65,0.66,4
828,"2012Daniel Briere",2012,"Daniel Briere","PHI","C",34,6,16,10,15,7,13,0.54,0.52,10
869,"2013John Moore",2013,"John Moore","NYR","D",74,4,15,25,59,4,27,0.55,0.55,6
873,"2013Colin Fraser",2013,"Colin Fraser","L.A","C",33,0,2,30,58,2,7,0.49,0.49,3
881,"2013Roman Josi",2013,"Roman Josi","NSH","D",72,13,40,18,32,22,34,0.49,0.51,10
901,"2013Niklas Kronwall",2013,"Niklas Kronwall","DET","D",79,8,49,44,93,25,50,0.53,0.53,2
927,"2013Matt Read",2013,"Matt Read","PHI","R",75,22,40,16,72,45,22,0.47,0.47,6
946,"2013Jonathan Huberdeau",2013,"Jonathan Huberdeau","FLA","L",69,9,28,37,73,32,21,0.56,0.54,11
963,"2013Michael Raffl",2013,"Michael Raffl","PHI","L",68,9,22,28,113,25,21,0.48,0.48,1
990,"2013John Mitchell",2013,"John Mitchell","COL","C",75,11,32,36,112,38,27,0.44,0.43,7
